Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
581,-21879.9,-14563.4,-14375.4
582,-21882.4,-14597.6,-14388.1
583,-21885.2,-14864.8,-14454.6
584,-21891.5,-14838.5,-14413.7
585,-21882.8,-14654.4,-14427.6
586,-21880.4,-14642.8,-14400.8
587,-21880.2,-14548.7,-14363.5
588,-21885.6,-14694.3,-14429.7
589,-21885.2,-14702.9,-14446.7
590,-21886.2,-14628.1,-14386.6
591,-21885.5,-14634.3,-14420.4
592,-21890.1,-14697.3,-14391.7
593,-21882.2,-14567.2,-14389.5
594,-21890.6,-14705.2,-14401
595,-21886.9,-14739.4,-14439.1
596,-21890.6,-14707.7,-14420.8
597,-21884.4,-14671.9,-14426.7
598,-21882.8,-14651.6,-14426.3
599,-21880.1,-14609.1,-14389.4
600,-21888.4,-14635.1,-14373.5
601,-21880.7,-14597.3,-14392.5
602,-21885.1,-14606.7,-14391.4
603,-21883,-14739.3,-14405.8
604,-21883.8,-14620.5,-14393.2
605,-21878.6,-14627.4,-14406
606,-21883.7,-14616.5,-14408.9
607,-21880.8,-14754.8,-14438.5
608,-21886.4,-14661.3,-14373
609,-21880.6,-14647.6,-14413.7
610,-21883.5,-14608.5,-14387.7
611,-21879.9,-14668,-14403.9
612,-21884.1,-14633.4,-14383
613,-21882,-14712.3,-14400.5
614,-21884.4,-14626.1,-14375.1
615,-21876.9,-14583.7,-14400
616,-21882.5,-14579,-14364.6
617,-21877.6,-14563.9,-14369.4
618,-21886.4,-14868.8,-14453.8
619,-21884.7,-14579.6,-14357.1
620,-21882.4,-14602.7,-14389.2
621,-21878.9,-14598,-14414
622,-21885.5,-14743.3,-14423.3
623,-21885.5,-14797.4,-14423
624,-21889.4,-14727.1,-14418.4
625,-21880.4,-14717.9,-14418.4
626,-21885.4,-14620.8,-14377
627,-21881.3,-14787.5,-14448
628,-21885.6,-14647.3,-14415.3
629,-21886.8,-14816.7,-14465.8
630,-21883.2,-14692.4,-14429.8
631,-21880.2,-14579.8,-14359.4
632,-21884.9,-14609,-14392.1
633,-21885.5,-14755.9,-14418.8
634,-21882.3,-14550.3,-14351.3
635,-21880,-14614.9,-14423.6
636,-21883.2,-14592.2,-14365.4
637,-21881.1,-14611.1,-14409.5
638,-21882.5,-14625.3,-14402.4
639,-21881.7,-14695.4,-14426
640,-21885.7,-14683.8,-14414.4
641,-21877.7,-14610.5,-14421.8
642,-21883.8,-14712.2,-14447.1
643,-21879.6,-14692.6,-14465.2
644,-21885,-14780.5,-14461.3
645,-21879,-14673.7,-14401.7
646,-21881.4,-14597.3,-14408.8
647,-21881.2,-14800.6,-14437.2
648,-21880.6,-14744.4,-14423.4
649,-21882.8,-14934.7,-14505.6
650,-21880.4,-14565.6,-14365.6
651,-21875.5,-14678,-14402.9
652,-21879.2,-14740.2,-14425.5
653,-21876.6,-14720.6,-14432.9
654,-21883.9,-14751.4,-14411.7
655,-21882,-14690.4,-14386.9
656,-21878.2,-14539.4,-14357.1
657,-21878.6,-14703.1,-14425.9
658,-21883.3,-14717.2,-14399.7
659,-21879.5,-14601.7,-14391.1
660,-21879.7,-14568.9,-14349.9
661,-21876.7,-14680.9,-14412.4
662,-21882.3,-14706.7,-14410.5
663,-21879.9,-14586.5,-14375.2
664,-21884.5,-14674.9,-14396.4
665,-21885,-14793.9,-14421.8
666,-21887.2,-14698,-14407.8
667,-21875.8,-14558.8,-14377
668,-21884,-14724.5,-14437
669,-21883.3,-14848.6,-14455.3
670,-21883.8,-14615.7,-14387.2
671,-21882.6,-14770.6,-14459.8
672,-21881.3,-14670,-14411.5
673,-21876.6,-14672.2,-14428.5
674,-21881.3,-14748.6,-14430.8
675,-21881.6,-14804.7,-14416.3
676,-21885.2,-14871.9,-14454.9
677,-21873.6,-14594.5,-14408.1
678,-21877.9,-14597.2,-14411.8
679,-21876.9,-14638.8,-14414.8
680,-21884.4,-14890.8,-14458.9
681,-21879.3,-14723.1,-14441.4
682,-21880.1,-14637.1,-14395
683,-21878.7,-14641.3,-14381.2
684,-21885.2,-14703.6,-14409.5
685,-21884.3,-14833.4,-14486.1
686,-21885.3,-14761,-14447.5
687,-21878.1,-14557.3,-14393.7
688,-21881.2,-14613.9,-14407.6
689,-21879.7,-14719,-14447.3
690,-21879.6,-14622.9,-14407.1
691,-21878.9,-14601.8,-14413.5
692,-21879.6,-14612.9,-14376
693,-21879.1,-14608.3,-14392.3
694,-21877.7,-14718.9,-14442.2
695,-21880.9,-14800.9,-14422.7
696,-21878.6,-14708,-14432.6
697,-21870.4,-14561.6,-14384.7
698,-21876.8,-14718.4,-14423.5
699,-21878.3,-14806.9,-14458.1
700,-21880.8,-14595.1,-14390.2
701,-21879.3,-14689.7,-14410.9
702,-21877.5,-14661.8,-14420.1
703,-21876.3,-14617.1,-14402.1
704,-21878.2,-14625.3,-14408.2
705,-21875.5,-14622.9,-14404
706,-21878.5,-14552.2,-14362.5
707,-21873.8,-14549.9,-14372.2
708,-21880.8,-14609.3,-14369.6
709,-21876.7,-14507.2,-14330.8
